291 true_sum = 54455, estimate_sum = 54987, error = 0.977%
292 true_sum = 53836, estimate_sum = 54258, error = 0.784%
293 true_sum = 54249, estimate_sum = 54578, error = 0.606%
294 true_sum = 54441, estimate_sum = 54300, error = -0.259%
295 true_sum = 54905, estimate_sum = 54709, error = -0.357%
296 true_sum = 55171, estimate_sum = 54611, error = -1.015%
297 true_sum = 55005, estimate_sum = 55160, error = 0.282%
298 true_sum = 54944, estimate_sum = 54605, error = -0.617%
299 true_sum = 54833, estimate_sum = 55096, error = 0.480%
300 true_sum = 54359, estimate_sum = 54461, error = 0.188%
301 true_sum = 54508, estimate_sum = 55636, error = 2.069%
302 true_sum = 54845, estimate_sum = 55660, error = 1.486%
303 true_sum = 55025, estimate_sum = 56228, error = 2.186%
304 true_sum = 54844, estimate_sum = 55746, error = 1.645%
305 true_sum = 54091, estimate_sum = 55604, error = 2.797%
306 true_sum = 53875, estimate_sum = 54978, error = 2.047%
307 true_sum = 54169, estimate_sum = 54965, error = 1.469%
308 true_sum = 53988, estimate_sum = 53363, error = -1.158%
309 true_sum = 54007, estimate_sum = 53628, error = -0.702%
310 true_sum = 54320, estimate_sum = 53725, error = -1.095%
311 true_sum = 53964, estimate_sum = 53876, error = -0.163%
312 true_sum = 53712, estimate_sum = 53534, error = -0.331%
313 true_sum = 53012, estimate_sum = 53452, error = 0.830%
314 true_sum = 52892, estimate_sum = 53026, error = 0.253%
315 true_sum = 53659, estimate_sum = 53644, error = -0.028%
316 true_sum = 54444, estimate_sum = 53850, error = -1.091%
317 true_sum = 54426, estimate_sum = 54216, error = -0.386%
318 true_sum = 53687, estimate_sum = 53818, error = 0.244%
319 true_sum = 53911, estimate_sum = 53830, error = -0.150%
320 true_sum = 54053, estimate_sum = 53626, error = -0.790%
321 true_sum = 54002, estimate_sum = 54127, error = 0.231%
322 true_sum = 54060, estimate_sum = 53638, error = -0.781%
323 true_sum = 54233, estimate_sum = 54045, error = -0.347%
324 true_sum = 54076, estimate_sum = 53657, error = -0.775%
325 true_sum = 53796, estimate_sum = 53773, error = -0.043%
326 true_sum = 53056, estimate_sum = 53133, error = 0.145%
327 true_sum = 53621, estimate_sum = 53722, error = 0.188%
328 true_sum = 53438, estimate_sum = 53476, error = 0.071%
329 true_sum = 52897, estimate_sum = 53433, error = 1.013%
